key,title,arxiv_id,category,year,venue,role,priority,source_type,source_url,pdf_url,evidence_status,local_path,valid,page_count,sha256,retrieved_at,repository_commit
sana,SANA: Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers,2410.10629,02_image_vae,2025,ICLR 2025,DC-AE in efficient DiT,core,paper,https://arxiv.org/abs/2410.10629,https://export.arxiv.org/pdf/2410.10629,indexed-not-downloaded,,False,,,,
videogpt,VideoGPT: Video Generation using VQ-VAE and Transformers,2104.10157,03_video_vae,2021,arXiv 2021,3D VQ-VAE video tokenizer,supporting,paper,https://arxiv.org/abs/2104.10157,https://export.arxiv.org/pdf/2104.10157,indexed-not-downloaded,,False,,,,
magvit,MAGVIT: Masked Generative Video Transformer,2212.05199,03_video_vae,2023,CVPR 2023,unified image-video tokenizer,core,paper,https://arxiv.org/abs/2212.05199,https://export.arxiv.org/pdf/2212.05199,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\03_video_vae\magvit_2212.05199.pdf,True,11,d7957d93820d0e9baf515409c1a82d280bc1ac8f1c647160a0f41a512d43e042,2026-08-21T05:27:35.400651+00:00,
magvit2,Language Model Beats Diffusion -- Tokenizer is Key to Visual Generation,2310.05737,03_video_vae,2024,ICLR 2024,lookup-free causal video tokenizer,core,paper,https://arxiv.org/abs/2310.05737,https://export.arxiv.org/pdf/2310.05737,indexed-not-downloaded,,False,,,,
cvvae,CV-VAE: A Compatible Video VAE for Latent Generative Video Models,2405.20279,03_video_vae,2024,arXiv 2024,image-VAE-compatible video VAE,core,paper,https://arxiv.org/abs/2405.20279,https://export.arxiv.org/pdf/2405.20279,indexed-not-downloaded,,False,,,,
cogvideox,CogVideoX: Text-to-Video Diffusion Models with An Expert Transformer,2408.06072,03_video_vae,2025,ICLR 2025,causal 3D video VAE,core,paper,https://arxiv.org/abs/2408.06072,https://export.arxiv.org/pdf/2408.06072,indexed-not-downloaded,,False,,,,
wfvae,WF-VAE: Enhancing Video VAE by Wavelet-Driven Energy Flow for Latent Video Diffusion Model,2411.17459,03_video_vae,2025,CVPR 2025,wavelet video VAE,core,paper,https://arxiv.org/abs/2411.17459,https://export.arxiv.org/pdf/2411.17459,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\03_video_vae\wfvae_2411.17459.pdf,True,11,cb046e42e413544ac49f3f462ffd8199112c12ca27c2d20a356e2ce2ef4c913e,2026-08-21T05:27:39.372303+00:00,
vidtok,VidTok: A Versatile and Open-Source Video Tokenizer,2412.13061,03_video_vae,2025,CVPR 2025,open video tokenizer training study,core,paper,https://arxiv.org/abs/2412.13061,https://export.arxiv.org/pdf/2412.13061,indexed-not-downloaded,,False,,,,
opensora,Open-Sora: Democratizing Efficient Video Production for All,2412.20404,03_video_vae,2025,arXiv 2024,open video generation system and VAE,core,paper,https://arxiv.org/abs/2412.20404,https://export.arxiv.org/pdf/2412.20404,indexed-not-downloaded,,False,,,,
hunyuanvideo,HunyuanVideo: A Systematic Framework For Large Video Generative Models,2412.03603,03_video_vae,2025,CVPR 2025,causal video VAE system,core,paper,https://arxiv.org/abs/2412.03603,https://export.arxiv.org/pdf/2412.03603,indexed-not-downloaded,,False,,,,
ltxvideo,LTX-Video: Realtime Video Latent Diffusion,2501.00103,03_video_vae,2025,arXiv 2024,high-compression video VAE,core,paper,https://arxiv.org/abs/2501.00103,https://export.arxiv.org/pdf/2501.00103,indexed-not-downloaded,,False,,,,
cosmos,Cosmos World Foundation Model Platform for Physical AI,2501.03575,03_video_vae,2025,arXiv 2025,continuous and discrete video tokenizers,core,paper,https://arxiv.org/abs/2501.03575,https://export.arxiv.org/pdf/2501.03575,indexed-not-downloaded,,False,,,,
wan,Wan: Open and Advanced Large-Scale Video Generative Models,2503.20314,03_video_vae,2025,arXiv 2025,Wan causal 3D VAE,core,paper,https://arxiv.org/abs/2503.20314,https://export.arxiv.org/pdf/2503.20314,indexed-not-downloaded,,False,,,,
flashvsr,FlashVSR: Towards Real-Time Diffusion-Based Streaming Video Super-Resolution,2510.12747,05_flashvsr_case,2026,CVPR 2026,LQ projection and conditional decoder case,core,paper,https://arxiv.org/abs/2510.12747,https://export.arxiv.org/pdf/2510.12747,paper-downloaded,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\papers\05_flashvsr_case\flashvsr_2510.12747.pdf,True,12,1d29872aea57f51947f032178f112d470bb84910e326ee806452e8db9d800569,2026-08-21T05:28:05.720314+00:00,
code_flux_model,FLUX DiT implementation,,source_code,,official repository,FLUX DiT implementation,core,official_code,https://raw.githubusercontent.com/black-forest-labs/flux/main/src/flux/model.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flux\model.py,True,,87f4e33aaa2585479ff63e683050f5f0fe82c8cb69d3699c7c85c02d6d474343,2026-08-21T05:34:07.015609+00:00,802fb4713906133fcbd0d8dc5351620ca4773036
code_flux_autoencoder,FLUX image autoencoder implementation,,source_code,,official repository,FLUX image autoencoder implementation,core,official_code,https://raw.githubusercontent.com/black-forest-labs/flux/main/src/flux/modules/autoencoder.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flux\modules\autoencoder.py,True,,cc022bc661b6df332ba542487584a4b53b6bbf80f3dd0e40b6cf9bc6b571b86e,2026-08-21T05:34:09.164270+00:00,802fb4713906133fcbd0d8dc5351620ca4773036
code_flux_util,FLUX autoencoder configuration,,source_code,,official repository,FLUX autoencoder configuration,core,official_code,https://raw.githubusercontent.com/black-forest-labs/flux/main/src/flux/util.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flux\util.py,True,,466a7bf0b31237864203b0a80763781faa81bf0d9b955c95383100a1e9cec189,2026-08-21T05:34:10.392600+00:00,802fb4713906133fcbd0d8dc5351620ca4773036
code_sd3_sd3_impls,SD3 VAE and latent preprocessing implementation,,source_code,,official repository,SD3 VAE and latent preprocessing implementation,core,official_code,https://raw.githubusercontent.com/Stability-AI/sd3-ref/master/sd3_impls.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\sd3\sd3_impls.py,True,,6abad58948cd36e0e69e14b0b131b421d799eccee4f5953eb6d37f3634220821,2026-08-21T05:34:14.397531+00:00,883b836841679d8791a5e346c861dd914fbb618d
code_ldm_autoencoder,LDM autoencoder training implementation,,source_code,,official repository,LDM autoencoder training implementation,core,official_code,https://raw.githubusercontent.com/CompVis/latent-diffusion/main/ldm/models/autoencoder.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\ldm\autoencoder.py,True,,8ba30483454b431e0642c229f286fe387c60130c26516cd392594186f9b4a4e5,2026-08-21T05:34:15.827030+00:00,a506df5756472e2ebaf9078affdde2c4f1502cd4
code_ldm_vqperceptual,LDM reconstruction/perceptual/adversarial losses,,source_code,,official repository,LDM reconstruction/perceptual/adversarial losses,core,official_code,https://raw.githubusercontent.com/CompVis/latent-diffusion/main/ldm/modules/losses/vqperceptual.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\ldm\vqperceptual.py,True,,9905d89ea41bc366f5e451e2f835a0c0d49bed79e3d3e2c6edc83837320de093,2026-08-21T05:34:17.050689+00:00,a506df5756472e2ebaf9078affdde2c4f1502cd4
code_dit_models,DiT latent patch processing,,source_code,,official repository,DiT latent patch processing,core,official_code,https://raw.githubusercontent.com/facebookresearch/DiT/main/models.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\dit\models.py,True,,1b8031a1340a3d1045c0bdb382334068f5f20e32edf67b3e6aba961ba91846ca,2026-08-21T05:34:18.227320+00:00,ed81ce2229091fd4ecc9a223645f95cf379d582b
code_flashvsr_TCDecoder,Tiny Conditional Decoder,,source_code,,official repository,Tiny Conditional Decoder,core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/examples/WanVSR/utils/TCDecoder.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\TCDecoder.py,True,,33f060b36a7650455745cdd73285c6e946d3bae23de32c1dfab3098a38acfd32,2026-08-21T05:34:19.570223+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_flashvsr_utils,LQ projection module,,source_code,,official repository,LQ projection module,core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/examples/WanVSR/utils/utils.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\utils.py,True,,dfe156fd24b35a31810cb82ee7c635952c30818bf8169871e0dca6b4df4b617d,2026-08-21T05:34:22.031172+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_flashvsr_infer_flashvsr_v1.1_tiny,Tiny-decoder inference wiring,,source_code,,official repository,Tiny-decoder inference wiring,core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/examples/WanVSR/infer_flashvsr_v1.1_tiny.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\infer_flashvsr_v1.1_tiny.py,True,,2d538629c41c089fa900452cbef13a598ea79e9c36b6a0ebda3da056a339568c,2026-08-21T05:34:24.325226+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_flashvsr_infer_flashvsr_v1.1_full,Full Wan VAE decoder inference wiring,,source_code,,official repository,Full Wan VAE decoder inference wiring,core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/examples/WanVSR/infer_flashvsr_v1.1_full.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\infer_flashvsr_v1.1_full.py,True,,84797551ecb0cdd253110683da634115cfc686a6132db37e36e01088bf5d4315,2026-08-21T05:34:26.023216+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_flashvsr_wan_video_vae,Wan video VAE implementation used by FlashVSR,,source_code,,official repository,Wan video VAE implementation used by FlashVSR,core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/diffsynth/models/wan_video_vae.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\wan_video_vae.py,True,,69adc401c4a86b7adc5902ac24e69975cfc8e1b22c8ce19217746f1cacd79c18,2026-08-21T05:34:27.302161+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_flashvsr_README,"Official model, weights, dataset and runtime claims",,source_code,,official repository,"Official model, weights, dataset and runtime claims",core,official_code,https://raw.githubusercontent.com/OpenImagingLab/FlashVSR/main/README.md,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\flashvsr\README.md,True,,cd0283ee4c2c2a12ede290b2be5d31a9744fd2feb5c056bd77aa8ca36fef038b,2026-08-21T05:34:34.905513+00:00,6dd38e57203af4efca97df82c659f5d5a2dcf51a
code_wan_vae,Official Wan VAE implementation,,source_code,,official repository,Official Wan VAE implementation,core,official_code,https://raw.githubusercontent.com/Wan-Video/Wan2.1/main/wan/modules/vae.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\wan\wan\modules\vae.py,True,,4912ffd7a9fbb17ceef9a17d4a9c4b8aee36ec37c32594f54e57693b29909498,2026-08-21T05:34:36.238962+00:00,9737cba9c1c3c4d04b33fcad41c111989865d315
code_cogvideox_cp_enc_dec,CogVideoX causal VAE implementation,,source_code,,official repository,CogVideoX causal VAE implementation,core,official_code,https://raw.githubusercontent.com/THUDM/CogVideo/main/sat/vae_modules/cp_enc_dec.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\cogvideox\sat\vae_modules\cp_enc_dec.py,True,,446c978ac2d216797d36eb3c1f0f88614cda46af7c3efd01e349ec5313bfadee,2026-08-21T05:34:37.777061+00:00,7a1af7154511e0ce4e4be8d62faa8c5e5a3532d2
code_hunyuanvideo_autoencoder_kl_causal_3d,HunyuanVideo causal VAE implementation,,source_code,,official repository,HunyuanVideo causal VAE implementation,core,official_code,https://raw.githubusercontent.com/Tencent-Hunyuan/HunyuanVideo/main/hyvideo/vae/autoencoder_kl_causal_3d.py,,code-verified,D:\Repository\ReadPaper\daily\20260821_ENC_DEC\source_code\hunyuanvideo\hyvideo\vae\autoencoder_kl_causal_3d.py,True,,e2596d5cafa8ef4b454daea672fb7da38d8470d96be1cdd20d7d9916866b268e,2026-08-21T05:34:39.026855+00:00,e748c73ac064728bf6bd15b1cdb8161e55a4f331
